site,title,price,price_numeric,description,url,image_url,scraped_date
Brigitte Sauvager,"NANTES Monselet, 94 m²",349 000 € F.A.I,349000,Charmant appartement T4 de 94 m²  en duplex traversant Est-Ouest,https://www.brigitte-sauvager.com/charmant-appartement-t4-de-94-m-en-duplex-traversant-est-ouest,https://www.brigitte-sauvager.com/cms/310_218-IMG_9611.jpg,2026-02-04
Brigitte Sauvager,"Nantes Camus, 126 m²",641 700 € F.A.I,641700,Bel appartement T5 traversant de 126 m² donnant sur une terrasse Sud Ouest avec vue panoramique sur la Chézine en étage élevé avec ascenseur,https://www.brigitte-sauvager.com/bel-appartement-t5-traversant-de-126-m-donnant-sur-une-terrasse-sud-ouest-avec-vue-panoramique-sur-la-chezine-en-etage-eleve-avec-ascenseur,https://www.brigitte-sauvager.com/cms/310_218-IMG_8708.jpg,2026-02-04
Brigitte Sauvager,"Nantes Procé, 95 m²",468 000 € F.A.I,468000,Appartement T4 de 95 m² avec parking et balcon dans un immeuble de standing,https://www.brigitte-sauvager.com/appartement-t4-de-95-m-avec-parking-et-balcon-dans-un-immeuble-de-standing,https://www.brigitte-sauvager.com/cms/310_218-IMG_8729.jpg,2026-02-04
Brigitte Sauvager,"Nantes Procé, 133 m²",540 800 € F.A.I,540800,Bel appartement T5 de 133 m² avec triple exposition au sein de la Résidence de la Guylhomné,https://www.brigitte-sauvager.com/bel-appartement-t5-de-133-m-avec-triple-exposition-au-sein-de-la-residence-de-la-guylhomne,https://www.brigitte-sauvager.com/cms/310_218-image10.jpeg,2026-02-04
Brigitte Sauvager,"Nantes Eraudière, 54.23 m²",184 500 € F.A.I,184500,Appartement T2  de 54 m²  avec balcon en étage élevé dans une résidence récente,https://www.brigitte-sauvager.com/appartement-t2-de-54-m-avec-balcon-en-etage-eleve-dans-une-residence-recente,https://www.brigitte-sauvager.com/cms/310_218-IMG_3451.jpeg,2026-02-04
Brigitte Sauvager,"NANTES CENTRE-VILLE, 106.32 m²",360 000 € F.A.I,360000,Appartement T4 de 106.32 m² rénové avec goût en étage élevé dans immeuble de caractère avec ascenseur,https://www.brigitte-sauvager.com/appartement-t4-de-10632-m-renove-avec-gout-en-etage-eleve-dans-immeuble-de-caractere-avec-ascenseur,https://www.brigitte-sauvager.com/cms/310_218-IMG_9326.jpg,2026-02-04
Brigitte Sauvager,"Nantes Cambronne, 57 m²",262 500 € F.A.I,262500,Appartement  T2 de 57 m² situé au 3ème étage et dernier étage d'un immeuble de caractère du Cours Cambronne,https://www.brigitte-sauvager.com/appartement-t2-de-57-m-situe-au-3eme-etage-et-dernier-etage-dun-immeuble-de-caractere-du-cours-cambronne,https://www.brigitte-sauvager.com/cms/310_218-IMG_3778.jpeg,2026-02-04
Brigitte Sauvager,"Nantes Centre ville, 126.80 m²",599 000 € F.A.I,599000,Bel appartement de caractère de 140 m² au sol (127 m² Carrez) dans un immeuble restauré du XVIIIème siècle,https://www.brigitte-sauvager.com/bel-appartement-de-caractere-de-140-m-au-sol-127-m-carrez-dans-un-immeuble-restaure-du-xviiieme-siecle,https://www.brigitte-sauvager.com/cms/310_218-IMG_7476.jpg,2026-02-04
Brigitte Sauvager,"Nantes Boccage, 100.63 m²",530 400 € F.A.I,530400,Appartement T4 de 100.63 m² avec terrasse dans une résidence de standing,https://www.brigitte-sauvager.com/appartement-t4-de-10063-m-avec-terrasse-dans-une-residence-de-standing,https://www.brigitte-sauvager.com/cms/310_218-IMG_8510.jpg,2026-02-04
Brigitte Sauvager,"Nantes René Bouhier, 64.69 m²",250 000 € F.A.I,250000,Appartement T3 de 64 .69m² situé au 3ème étage avec ascenseur et parking,https://www.brigitte-sauvager.com/appartement-t3-de-64-69m-situe-au-3eme-etage-avec-ascenseur,https://www.brigitte-sauvager.com/cms/310_218-IMG_0229.jpg,2026-02-04
